user_id,date,arm,click
73,2024-06-30,arm_2,1
74,2024-06-30,arm_1,0
75,2024-06-30,arm_3,0
76,2024-06-30,arm_2,1
77,2024-06-30,arm_2,0
78,2024-06-30,arm_2,1
79,2024-06-30,arm_1,1
80,2024-06-30,arm_1,0
81,2024-06-30,arm_3,1
82,2024-06-30,arm_3,0
83,2024-06-30,arm_2,0
84,2024-06-30,arm_2,0
85,2024-06-30,arm_2,0
86,2024-06-30,arm_2,1
87,2024-06-30,arm_1,1
88,2024-06-30,arm_2,1
89,2024-06-30,arm_2,1
90,2024-06-30,arm_2,1
91,2024-06-30,arm_2,0
92,2024-06-30,arm_2,0
93,2024-06-30,arm_1,1
94,2024-06-30,arm_3,1
95,2024-06-30,arm_2,0
96,2024-06-30,arm_3,1
97,2024-06-30,arm_2,1
98,2024-06-30,arm_3,0
99,2024-06-30,arm_1,1
100,2024-06-30,arm_3,0
101,2024-06-30,arm_1,1
102,2024-06-30,arm_2,0
103,2024-06-30,arm_2,1
104,2024-06-30,arm_1,1
105,2024-06-30,arm_2,0
106,2024-06-30,arm_3,0
107,2024-06-30,arm_3,1
108,2024-06-30,arm_2,1
109,2024-06-30,arm_2,0
110,2024-06-30,arm_1,1
111,2024-06-30,arm_3,1
112,2024-06-30,arm_3,0
113,2024-06-30,arm_3,0
114,2024-06-30,arm_3,0
115,2024-06-30,arm_3,0
116,2024-06-30,arm_3,0
117,2024-06-30,arm_3,1
118,2024-06-30,arm_1,1
119,2024-06-30,arm_1,0
120,2024-06-30,arm_1,1
121,2024-06-30,arm_2,1
122,2024-06-30,arm_3,0
123,2024-06-30,arm_3,1
124,2024-06-30,arm_3,0
125,2024-06-30,arm_3,1
126,2024-06-30,arm_3,1
127,2024-06-30,arm_1,1
128,2024-06-30,arm_1,0
129,2024-06-30,arm_3,1
130,2024-06-30,arm_1,0
131,2024-06-30,arm_2,0
132,2024-06-30,arm_3,1
133,2024-06-30,arm_3,1
134,2024-06-30,arm_2,0
135,2024-06-30,arm_1,0
136,2024-06-30,arm_1,1
137,2024-06-30,arm_1,1
138,2024-06-30,arm_2,0
139,2024-06-30,arm_2,0
140,2024-06-30,arm_1,1
141,2024-06-30,arm_1,0
142,2024-06-30,arm_2,0
143,2024-06-30,arm_1,1
144,2024-06-30,arm_2,1
145,2024-06-30,arm_3,1
146,2024-06-30,arm_1,0
147,2024-06-30,arm_3,1
148,2024-06-30,arm_1,1
149,2024-06-30,arm_3,0
150,2024-06-30,arm_2,0
151,2024-06-30,arm_2,0
152,2024-06-30,arm_3,1
153,2024-06-30,arm_3,1
154,2024-06-30,arm_3,1
155,2024-06-30,arm_3,0
156,2024-06-30,arm_2,0
157,2024-06-30,arm_3,0
158,2024-06-30,arm_1,1
159,2024-06-30,arm_2,0
160,2024-06-30,arm_3,0
161,2024-06-30,arm_2,0
162,2024-06-30,arm_3,1
163,2024-06-30,arm_1,0
164,2024-06-30,arm_2,1
165,2024-06-30,arm_1,0
166,2024-06-30,arm_1,1
167,2024-06-30,arm_3,0
168,2024-06-30,arm_1,1
169,2024-06-30,arm_2,0
170,2024-06-30,arm_1,0
171,2024-06-30,arm_3,1
172,2024-06-30,arm_3,1
173,2024-06-30,arm_1,0
174,2024-06-30,arm_3,1
175,2024-06-30,arm_2,1
176,2024-06-30,arm_1,1
177,2024-06-30,arm_3,0
178,2024-06-30,arm_2,0
179,2024-06-30,arm_2,1
180,2024-06-30,arm_1,1
181,2024-06-30,arm_3,1
182,2024-06-30,arm_3,1
183,2024-06-30,arm_2,1
184,2024-06-30,arm_2,1
185,2024-06-30,arm_2,1
186,2024-06-30,arm_3,0
187,2024-06-30,arm_1,1
188,2024-06-30,arm_3,1
189,2024-06-30,arm_2,0
190,2024-06-30,arm_3,0
191,2024-06-30,arm_1,1
192,2024-06-30,arm_2,0
193,2024-06-30,arm_2,1
194,2024-06-30,arm_3,1
195,2024-06-30,arm_3,0
196,2024-06-30,arm_2,0
197,2024-06-30,arm_1,0
198,2024-06-30,arm_2,1
199,2024-06-30,arm_1,0
200,2024-06-30,arm_1,0
201,2024-06-30,arm_3,1
202,2024-06-30,arm_2,1
203,2024-06-30,arm_3,1
204,2024-06-30,arm_2,1
205,2024-06-30,arm_3,1
206,2024-06-30,arm_3,0
207,2024-06-30,arm_1,1
208,2024-06-30,arm_1,1
209,2024-06-30,arm_2,0
210,2024-06-30,arm_3,1
211,2024-06-30,arm_3,1
212,2024-06-30,arm_3,0
213,2024-06-30,arm_2,1
214,2024-06-30,arm_1,0
215,2024-06-30,arm_2,0
216,2024-06-30,arm_3,1
217,2024-06-30,arm_3,0
218,2024-06-30,arm_3,0
219,2024-06-30,arm_1,0
220,2024-06-30,arm_2,1
221,2024-06-30,arm_3,0
222,2024-06-30,arm_3,0
223,2024-06-30,arm_1,1
224,2024-06-30,arm_1,0
225,2024-06-30,arm_3,1
226,2024-06-30,arm_3,1
227,2024-06-30,arm_2,1
228,2024-06-30,arm_3,0
229,2024-06-30,arm_1,1
230,2024-06-30,arm_3,0
231,2024-06-30,arm_3,0
232,2024-06-30,arm_1,0
233,2024-06-30,arm_1,0
234,2024-06-30,arm_2,0
235,2024-06-30,arm_3,1
236,2024-06-30,arm_3,1
237,2024-06-30,arm_3,0
238,2024-06-30,arm_2,0
239,2024-06-30,arm_1,0
240,2024-06-30,arm_2,0
241,2024-06-30,arm_2,0
242,2024-06-30,arm_3,1
243,2024-06-30,arm_1,0
244,2024-06-30,arm_1,1
245,2024-06-30,arm_2,1
246,2024-06-30,arm_2,0
247,2024-06-30,arm_3,1
248,2024-06-30,arm_3,0
249,2024-06-30,arm_1,0
250,2024-06-30,arm_3,0
251,2024-06-30,arm_3,0
252,2024-06-30,arm_3,0
253,2024-06-30,arm_2,0
254,2024-06-30,arm_2,0
255,2024-06-30,arm_3,0
256,2024-06-30,arm_3,1
257,2024-06-30,arm_2,0
258,2024-06-30,arm_3,0
259,2024-06-30,arm_3,0
260,2024-06-30,arm_1,1
261,2024-06-30,arm_1,0
262,2024-06-30,arm_2,0
263,2024-06-30,arm_3,0
264,2024-06-30,arm_1,0
265,2024-06-30,arm_3,1
266,2024-06-30,arm_1,1
267,2024-06-30,arm_1,0
268,2024-06-30,arm_1,0
269,2024-06-30,arm_2,0
270,2024-06-30,arm_1,1
271,2024-06-30,arm_1,0
272,2024-06-30,arm_3,0
273,2024-06-30,arm_1,0
274,2024-06-30,arm_1,0
275,2024-06-30,arm_2,0
276,2024-06-30,arm_3,0
277,2024-06-30,arm_2,0
278,2024-06-30,arm_1,1
279,2024-06-30,arm_3,0
280,2024-06-30,arm_2,0
281,2024-06-30,arm_3,0
282,2024-06-30,arm_3,0
283,2024-06-30,arm_2,0
284,2024-06-30,arm_3,1
285,2024-06-30,arm_2,1
286,2024-06-30,arm_3,0
287,2024-06-30,arm_2,0
288,2024-06-30,arm_1,1
289,2024-06-30,arm_3,1
290,2024-06-30,arm_1,1
291,2024-06-30,arm_3,1
292,2024-06-30,arm_2,0
293,2024-06-30,arm_3,1
294,2024-06-30,arm_1,1
295,2024-06-30,arm_1,0
296,2024-06-30,arm_2,0
297,2024-06-30,arm_2,0
298,2024-06-30,arm_2,1
299,2024-06-30,arm_3,0
300,2024-06-30,arm_1,1
301,2024-06-30,arm_3,0
302,2024-06-30,arm_1,0
303,2024-06-30,arm_2,0
